ccode,pcode,km
ARE,ROM,3387
ARE,RUS,3736
ARE,RWA,3922
ARE,SAU,791
ARE,SDN,2501
ARE,SEN,7523
ARE,SER,3804
ARE,SGP,5893
ARE,SLB,12291
ARE,SLE,7359
ARE,SLV,14245
ARE,SOM,2664
ARE,SUR,11715
ARE,SVK,4201
ARE,SVN,4290
ARE,SWE,4804
ARE,SWZ,6150
ARE,SYC,3221
ARE,SYR,2025
ARE,TCD,4346
ARE,TGO,6008
ARE,THA,4978
ARE,TJK,2093
ARE,TKM,1555
ARE,TON,13819
ARE,TTO,12055
ARE,TUN,4410
ARE,TUR,2656
ARE,TWN,6714
ARE,TZA,3800
ARE,UGA,3575
ARE,UKR,3552
ARE,URY,13325
ARE,USA,11373
ARE,UZB,2357
ARE,VEN,12550
ARE,VNM,5254
ARE,VUT,13214
ARE,YDR,1461
ARE,YEM,1461
ARE,YUG,3804
ARE,ZAF,7486
ARE,ZAR,5289
ARE,ZMB,5246
ARE,ZWE,5325
ARG,ABW,5352
ARG,AFG,15272
ARG,AGO,7790
ARG,ALB,11609
ARG,AND,10481
ARG,ARE,13521
ARG,ARG,
ARG,ARM,13397
ARG,AUS,11792
ARG,AUT,11794
ARG,AZE,13835
ARG,BDI,9597
ARG,BEN,7846
ARG,BFA,7524
ARG,BGD,16794
ARG,BGR,11907
ARG,BHR,13287
ARG,BHS,6917
ARG,BIH,11666
ARG,BLR,12801
ARG,BLX,11269
ARG,BLZ,6589
ARG,BMU,14819
ARG,BOL,2241
ARG,BRA,2370
ARG,BRN,16645
ARG,BTN,16902
ARG,BWA,7984
ARG,CAF,9058
ARG,CAN,9039
ARG,CHE,11261
ARG,CHL,1125
ARG,CHN,19300
ARG,CIV,7235
ARG,CMR,8397
ARG,COG,8245
ARG,COL,4664
ARG,CRI,10349
ARG,CSK,11799
ARG,CUB,6885
ARG,CYP,12272
ARG,CZE,11799
ARG,DDR,11886
ARG,DEU,11886
ARG,DJI,11797
ARG,DMA,5546
ARG,DNK,12035
ARG,DOM,5991
ARG,DZA,10137
ARG,ECU,4348
ARG,EGY,11809
ARG,ERI,11634
ARG,ESP,10042
ARG,EST,12900
ARG,ETH,11214
ARG,FIN,12944
ARG,FJI,11668
ARG,FRA,11013
ARG,GAB,8022
ARG,GBR,11109
ARG,GEO,13480
ARG,GER,11886
ARG,GHA,7530
ARG,GIN,6788
ARG,GMB,6920
ARG,GNB,6847
ARG,GRC,11667
ARG,GRD,5187
ARG,GTM,6404
ARG,GUF,4386
ARG,GUY,7050
ARG,HKG,18512
ARG,HND,6201
ARG,HRV,11633
ARG,HTI,6056
ARG,HUN,11919
ARG,IDN,15264
ARG,IND,15793
ARG,IRL,10980
ARG,IRN,13760
ARG,IRQ,13072
ARG,ISL,11435
ARG,ISR,12219
ARG,ITA,11111
ARG,JAM,6157
ARG,JOR,12260
ARG,JPN,18427
ARG,KAZ,16093
ARG,KEN,10392
ARG,KGZ,15901
ARG,KHM,16948
ARG,KNA,5778
